,sentiment,review_body,review_tidy,tokens
18153,0,"I like it, but there is so little memory that you can't download more than a show or 2 at a time.  Not great if you want stuff for a long trip.  May try to upgrade to the 16. (I may be too late)",like little memory download show time great want stuff long trip upgrade late,"['like', 'little', 'memory', 'download', 'show', 'time', 'great', 'want', 'stuff', 'long', 'trip', 'upgrade', 'late']"
18157,0,"This is a really great product with one exception, it freezes up and closes out windows/tabs sometimes. I don't know if that's from the ads on the kindle shows messing it up or what, but it's very frustrating when it happens. Especially since I don't have much on it taking up space to cause the slowness or freezing. Otherwise it's a great product that let's you read, check Facebook, surf the Internet, etc.",This really great product exception freezes closes windows tabs sometimes know kindle shows messing frustrating happens Especially since much taking space cause slowness freezing Otherwise great product read check Facebook surf Internet,"['this', 'really', 'great', 'product', 'exception', 'freeze', 'close', 'window', 'tab', 'sometimes', 'know', 'kindle', 'show', 'mess', 'frustrating', 'happen', 'especially', 'since', 'much', 'take', 'space', 'cause', 'slowness', 'freeze', 'otherwise', 'great', 'product', 'read', 'check', 'facebook', 'surf', 'internet']"
18159,0,The Jury is still out - the first one I received as a gift did not work properly in that the power on button when tapped would sometimes work and other times you had to struggle with getting the unit to turn on.  We just received our replacement Fire HD and looking forward to the flawless enjoyment and service previous Kindle products we have ordered and used.,Jury still first received gift work properly power button tapped would sometimes work times struggle getting unit turn received replacement Fire looking forward flawless enjoyment service previous Kindle products ordered used,"['jury', 'still', 'first', 'receive', 'gift', 'work', 'properly', 'power', 'button', 'tap', 'would', 'sometimes', 'work', 'time', 'struggle', 'get', 'unit', 'turn', 'receive', 'replacement', 'fire', 'look', 'forward', 'flawless', 'enjoyment', 'service', 'previous', 'kindle', 'product', 'order', 'use']"
18162,0,"Just bought it won't stop restarting, its horrible I wish it would work :(:( I'm very disappointed its not worth a penny!",Just bought stop restarting horrible wish would work disappointed worth penny,"['just', 'buy', 'stop', 'restart', 'horrible', 'wish', 'would', 'work', 'disappoint', 'worth', 'penny']"
18163,0,"Decent enough tablet for basic use, but since it is controlled by Amazon, many apps cannot run on it and the parental controls are cumbersome.",Decent enough tablet basic since controlled Amazon many apps cannot parental controls cumbersome,"['decent', 'enough', 'tablet', 'basic', 'since', 'control', 'amazon', 'many', 'app', 'can', 'not', 'parental', 'control', 'cumbersome']"
18164,0,Lasted for a month!!!!,Lasted month,"['last', 'month']"
18165,0,"My daughter had for less than a week, put 2 apps on it and it said the storage was full. Should have spent the money on an iPad.",daughter less week apps said storage full Should spent money iPad,"['daughter', 'less', 'week', 'app', 'say', 'storage', 'full', 'should', 'spend', 'money', 'ipad']"
18167,0,Received as a gift.  Still not sure what I will use it for.  My grandaughter loves hers.,Received gift Still sure grandaughter loves,"['received', 'gift', 'still', 'sure', 'grandaughter', 'love']"
18168,0,"Ads on the lock screen that you have to pay $15 to remove.  My first Kindle Fire did not have this, so I'm disappointed that the newer version has irritating ads every time I unlock it.",lock screen remove first Kindle Fire disappointed newer version irritating every time unlock,"['lock', 'screen', 'remove', 'first', 'kindle', 'fire', 'disappoint', 'new', 'version', 'irritate', 'every', 'time', 'unlock']"
18183,0,"doesn't support write to left languages,",support write left languages,"['support', 'write', 'left', 'language']"
18185,0,"really disappointed in the new fire hd.  It has a harder to use power button and navigating between options is difficult.  Every time you turn it on there is a commercial.  The book purchase section has fewer options and more difficult navigating.  The reading part is fine, but the rest of the package is a big step backwards.",really disappointed fire harder power button navigating options difficult Every time turn commercial book purchase section fewer options difficult navigating reading part fine rest package step backwards,"['really', 'disappoint', 'fire', 'hard', 'power', 'button', 'navigate', 'option', 'difficult', 'every', 'time', 'turn', 'commercial', 'book', 'purchase', 'section', 'few', 'option', 'difficult', 'navigate', 'read', 'part', 'fine', 'rest', 'package', 'step', 'backwards']"
18193,0,It was just ok,,['nan']
18194,0,"My daughter wants an updated Fire for her birthday.  I went to the trouble of ordering a 16GB version in Blue.  It was delivered it its cute Kindle box in a PADDED envelope.  I have received makeup brushes in better Amazon packaging.<br /><br />Tell me, AMAZON leadership, how do you justify sending your signature kindle product with such sloppy presentation.  You really should have a special Kindle box for Kindles shipped from Amazon.<br /><br />I will probably now buy the kindle at Target and hope my debit card is not breached.  :(",daughter wants updated Fire birthday went trouble ordering version Blue delivered cute Kindle PADDED envelope received makeup brushes better Amazon packaging Tell AMAZON leadership justify sending signature kindle product sloppy presentation really special Kindle Kindles shipped Amazon probably kindle Target hope debit card breached,"['daughter', 'want', 'update', 'fire', 'birthday', 'go', 'trouble', 'order', 'version', 'blue', 'deliver', 'cute', 'kindle', 'padded', 'envelope', 'receive', 'makeup', 'brush', 'well', 'amazon', 'packaging', 'tell', 'amazon', 'leadership', 'justify', 'send', 'signature', 'kindle', 'product', 'sloppy', 'presentation', 'really', 'special', 'kindle', 'kindles', 'ship', 'amazon', 'probably', 'kindle', 'target', 'hope', 'debit', 'card', 'breach']"
18208,0,I love my kindle,love kindle,"['love', 'kindle']"
18218,0,"It's not bad.  I would have given it 5 stars but when I found out that it didn't come with a longer USB cord and from reading other reviews other people said theirs did, I was disappointed. The one that &#34;came&#34; with the item was so short that when it was plugged in I really couldn't use it. I ended up purchasing one separately and am much happier now that I have some wiggle room. The other reason for the 3 not 5 star rating is, it has no sd slot. In &#34;my opinion&#34; I think a product of this caliber should have one. I wanted to upgrade and get one with more space but that is a deal breaker for me. Also, it doesn't take great pictures. I guess it really isn't meant to! LOL",would given stars found come longer cord reading reviews people said disappointed came item short plugged really ended purchasing separately much happier wiggle room reason star rating slot opinion think product caliber wanted upgrade space deal breaker Also take great pictures guess really meant,"['would', 'give', 'star', 'find', 'come', 'long', 'cord', 'reading', 'review', 'people', 'say', 'disappointed', 'come', 'item', 'short', 'plug', 'really', 'end', 'purchase', 'separately', 'much', 'happy', 'wiggle', 'room', 'reason', 'star', 'rating', 'slot', 'opinion', 'think', 'product', 'caliber', 'want', 'upgrade', 'space', 'deal', 'breaker', 'also', 'take', 'great', 'picture', 'guess', 'really', 'mean']"
18224,0,Kids accounts can't access the Internet. That's half the point.,Kids accounts access Internet That half point,"['kid', 'account', 'access', 'internet', 'that', 'half', 'point']"
18241,0,"This was a gift for a 4 year old. Works well, but the storage fills up quickly when using Amazon Free Time. Also setting up the profiles was confusing and the help center was not knowledgeable. This will take longer to set-up than other samsung/apple/nook tablets we have. It takes patience and research. I would not recommend if you can find a comparable Samsung tablet.",This gift year Works well storage fills quickly using Amazon Free Time Also setting profiles confusing help center knowledgeable This take longer samsung apple nook tablets takes patience research would recommend find comparable Samsung tablet,"['this', 'gift', 'year', 'work', 'well', 'storage', 'fill', 'quickly', 'use', 'amazon', 'free', 'time', 'also', 'set', 'profile', 'confusing', 'help', 'center', 'knowledgeable', 'this', 'take', 'long', 'samsung', 'apple', 'nook', 'tablets', 'take', 'patience', 'research', 'would', 'recommend', 'find', 'comparable', 'samsung', 'tablet']"
18255,0,"Nice Tablet, the only bad thing is that for some reason it did not bring the wall charger!",Nice Tablet thing reason bring wall charger,"['nice', 'tablet', 'thing', 'reason', 'bring', 'wall', 'charger']"
18259,0,Works fine.  Slow to boot up.  Should have come with a user guide.  I didn't know it had voice recognition.,Works fine Slow boot Should come user guide know voice recognition,"['work', 'fine', 'slow', 'boot', 'should', 'come', 'user', 'guide', 'know', 'voice', 'recognition']"
18279,0,"It sounds nice, and the screen looks great. Netflix works really well.  I don't like being limited to the Amazon market place.<br />But for an android device it seems way too locked down.  Forget about downloading a Google app gmail / calender, sure there are third party apps to cover the gap, but they are inferior.<br /><br />Even though this is thicker then a Nexus 7, I'd rate it higher, but it's too closed off app wise.<br /><br />I would not buy again.",sounds nice screen looks great Netflix works really well like limited Amazon market place android device seems locked Forget downloading Google gmail calender sure third party apps cover inferior Even though thicker Nexus rate higher closed wise would,"['sound', 'nice', 'screen', 'look', 'great', 'netflix', 'work', 'really', 'well', 'like', 'limit', 'amazon', 'market', 'place', 'android', 'device', 'seem', 'locked', 'forget', 'download', 'google', 'gmail', 'calender', 'sure', 'third', 'party', 'app', 'cover', 'inferior', 'even', 'though', 'thick', 'nexus', 'rate', 'higher', 'closed', 'wise', 'would']"
18291,0,"Really disappointed in how quickly it uses up a charge.  Otherwise, I like it.",Really disappointed quickly uses charge Otherwise like,"['really', 'disappoint', 'quickly', 'use', 'charge', 'otherwise', 'like']"
18297,0,Loses my internet connection in my home very easily. We have other things on the wifi that never lose connection.,Loses internet connection home easily things wifi never lose connection,"['lose', 'internet', 'connection', 'home', 'easily', 'thing', 'wifi', 'never', 'lose', 'connection']"
18300,0,it's ok.,,['nan']
18310,0,I LOVED my other Kindle Fire and used it non stop - this one is SO SLOW I cannot do anything with it and I am so disappointed.  I would take my old one back in a heart beat but I wore the poor thing out from using it so much for 2 straight years.,LOVED Kindle Fire used stop SLOW cannot anything disappointed would take back heart beat wore poor thing using much straight years,"['loved', 'kindle', 'fire', 'use', 'stop', 'slow', 'can', 'not', 'anything', 'disappointed', 'would', 'take', 'back', 'heart', 'beat', 'wear', 'poor', 'thing', 'use', 'much', 'straight', 'year']"
18315,0,Was not able to down load Wells Fargo and US Bank apps,able load Wells Fargo Bank apps,"['able', 'load', 'wells', 'fargo', 'bank', 'app']"
18322,0,"I bought one of this, everything is ok with it except for one little thing. I thought it had 8 gb of storage, but when I checked on my computer by plugging it in, I notice it is just 5 gb!!!",bought everything except little thing thought storage checked computer plugging notice,"['buy', 'everything', 'except', 'little', 'thing', 'think', 'storage', 'check', 'computer', 'plug', 'notice']"
18326,0,Instructions for different applications should be included,Instructions different applications included,"['instruction', 'different', 'application', 'include']"
18340,0,Cheaply made compared to the other kindles. Not enough memory.,Cheaply made compared kindles enough memory,"['cheaply', 'make', 'compare', 'kindle', 'enough', 'memory']"
18347,0,Not very easy to use.  Not happy with this item.  The original Kindle was much more user friendly.  You do even get a manual with the product!!,easy happy item original Kindle much user friendly even manual product,"['easy', 'happy', 'item', 'original', 'kindle', 'much', 'user', 'friendly', 'even', 'manual', 'product']"
18348,0,I received this for Christmas and it worked fine; now less then a month later it won't even turn on. I checked to make sure the charger was working so I know it's not the charger. Has anyone else had this problem? My old kindle is still working fine after a few years; I just wanted one with the front and back camera. Is there something I can try before I send it back?,received Christmas worked fine less month later even turn checked make sure charger working know charger anyone else problem kindle still working fine years wanted front back camera something send back,"['receive', 'christmas', 'work', 'fine', 'less', 'month', 'later', 'even', 'turn', 'check', 'make', 'sure', 'charger', 'work', 'know', 'charger', 'anyone', 'else', 'problem', 'kindle', 'still', 'work', 'fine', 'year', 'want', 'front', 'back', 'camera', 'something', 'send', 'back']"
18352,0,"Will randomly disconnect from our WiFi. All other devices are connected including an older generation kindle. Customer Service replaced the first one, only to have the second one do the same thing. We've found the only way to fix the issue and reconnect is to forget our network, change our WiFi password and reconnect to the network. This makes using the kindle a complete pain and requires us to reset every other device on the network to the new password.",Will randomly disconnect WiFi devices connected including older generation kindle Customer Service replaced first second thing found issue reconnect forget network change WiFi password reconnect network This makes using kindle complete pain requires reset every device network password,"['will', 'randomly', 'disconnect', 'wifi', 'device', 'connect', 'include', 'old', 'generation', 'kindle', 'customer', 'service', 'replace', 'first', 'second', 'thing', 'find', 'issue', 'reconnect', 'forget', 'network', 'change', 'wifi', 'password', 'reconnect', 'network', 'this', 'make', 'use', 'kindle', 'complete', 'pain', 'require', 'reset', 'every', 'device', 'network', 'password']"
18358,0,"I have submitted my request to return this to you.  I bought it for reading primarily.  But while reading a book and while the Fire HD was charged (60%+) , the screen would go white, when I would shift or it tilted, the screen would stay white for 20 minutes to over an hour!  Can't read a book very well when that happens!",submitted request return bought reading primarily reading book Fire charged screen would white would shift tilted screen would stay white minutes hour read book well happens,"['submit', 'request', 'return', 'buy', 'read', 'primarily', 'read', 'book', 'fire', 'charge', 'screen', 'would', 'white', 'would', 'shift', 'tilt', 'screen', 'would', 'stay', 'white', 'minute', 'hour', 'read', 'book', 'well', 'happen']"
18362,0,I never would have bought it if I knew every time you read your fresh d system it has a new advertisement on the homepage,never would bought knew every time read fresh system advertisement homepage,"['never', 'would', 'buy', 'know', 'every', 'time', 'read', 'fresh', 'system', 'advertisement', 'homepage']"
18368,0,"When I can finally learn how to use it, I believe it will be fine.  I was disappointed that it came with zero instructions as to how to use it.  I would still appreciate receiving written instructions as to how to use it efficiently!!!!!",When finally learn believe fine disappointed came zero instructions would still appreciate receiving written instructions efficiently,"['when', 'finally', 'learn', 'believe', 'fine', 'disappointed', 'come', 'zero', 'instruction', 'would', 'still', 'appreciate', 'receive', 'written', 'instruction', 'efficiently']"
18371,0,It was adequate...not Great. Not bad. Adequate.,adequate Great Adequate,"['adequate', 'great', 'adequate']"
18373,0,Poor battery life doesn't last one day have to recharge every night,Poor battery life last recharge every night,"['poor', 'battery', 'life', 'last', 'recharge', 'every', 'night']"
18378,0,"I had a first generation Kindle Fire and decided to upgrade. I'm glad I did, but this Kindle feels really cheap compared to the earlier models. The back is made of plastic, which is really annoying. I wish I could put the functionality of the new kindle in the body of my first generation kindle. It's really cheap compared to other tablets on the market, so I guess you get what you pay for. I think next time I'll just save up and get an ipad.",first generation Kindle Fire decided upgrade glad Kindle feels really cheap compared earlier models back made plastic really annoying wish could functionality kindle body first generation kindle really cheap compared tablets market guess think next time save ipad,"['first', 'generation', 'kindle', 'fire', 'decide', 'upgrade', 'glad', 'kindle', 'feel', 'really', 'cheap', 'compare', 'early', 'model', 'back', 'make', 'plastic', 'really', 'annoying', 'wish', 'could', 'functionality', 'kindle', 'body', 'first', 'generation', 'kindle', 'really', 'cheap', 'compare', 'tablet', 'market', 'guess', 'think', 'next', 'time', 'save', 'ipad']"
18398,0,"At the moment I'm not happy with it because I can't get it to come on, and because it didn't come with instructions, I don't know what to do.",moment happy come come instructions know,"['moment', 'happy', 'come', 'come', 'instruction', 'know']"
18400,0,The Fire HD 7 is a very user friendly piece of equipment.,Fire user friendly piece equipment,"['fire', 'user', 'friendly', 'piece', 'equipment']"
18406,0,It does not plug in very easy and my first one broke on the end and it wore out plugging it in,plug easy first broke wore plugging,"['plug', 'easy', 'first', 'broke', 'wear', 'plug']"
18407,0,"for touch screen, the capabilities were not too intuitive, especially for parental controls.  Also, a bit heavy for the size.",touch screen capabilities intuitive especially parental controls Also heavy size,"['touch', 'screen', 'capability', 'intuitive', 'especially', 'parental', 'control', 'also', 'heavy', 'size']"
18417,0,"it went to blank screen, whats the problem?",went blank screen whats problem,"['go', 'blank', 'screen', 'what', 's', 'problem']"
18423,0,My son loves it but about two weeks after we got it the sound quit working so now you can't hear anything but other than that pretty good,loves weeks sound quit working hear anything pretty good,"['love', 'week', 'sound', 'quit', 'working', 'hear', 'anything', 'pretty', 'good']"
18424,0,Memory fills with files that can't be cleared and you need to factory reset to be able to use the tablet. Was being used on free time only and had 2 games &#34;on device.&#34; Very frustrating to an 8 year old.,Memory fills files cleared need factory reset able tablet used free time games device Very frustrating year,"['memory', 'fill', 'file', 'clear', 'need', 'factory', 'reset', 'able', 'tablet', 'use', 'free', 'time', 'game', 'device', 'very', 'frustrating', 'year']"
18430,0,Battery-Life is terrible.,Battery Life terrible,"['battery', 'life', 'terrible']"
18431,0,Not as good as my old kindle. Much prefer it to the new models.  Actually purchased 2 of the new models. But will spend the money to get my old one repaired as it is so much better.,good kindle Much prefer models Actually purchased models spend money repaired much better,"['good', 'kindle', 'much', 'prefer', 'model', 'actually', 'purchase', 'model', 'spend', 'money', 'repair', 'much', 'well']"
18481,0,major problem misadjusting size of print,major problem misadjusting size print,"['major', 'problem', 'misadjuste', 'size', 'print']"
18499,0,"This item would probably be great for the person who has natural technology 'flowing through their veins', but some of us OLD people still need an instruction manual to learn what the new HD 7 can do.  Others have said I could find a manual on line, but where???",This item would probably great person natural technology flowing veins people still need instruction manual learn Others said could find manual line,"['this', 'item', 'would', 'probably', 'great', 'person', 'natural', 'technology', 'flow', 'vein', 'people', 'still', 'need', 'instruction', 'manual', 'learn', 'other', 'say', 'could', 'find', 'manual', 'line']"
18503,0,"I bought these for the kids, and they were very slow. The kids would actually look up and wait for a minute or two just waiting for videos to load, then they would have wait 10 to 20 seconds at a time while the videos would stream. Kids aren't very patient for this kid of stuff!",bought kids slow kids would actually look wait minute waiting videos load would wait seconds time videos would stream Kids patient stuff,"['buy', 'kid', 'slow', 'kid', 'would', 'actually', 'look', 'wait', 'minute', 'wait', 'video', 'load', 'would', 'wait', 'second', 'time', 'video', 'would', 'stream', 'kids', 'patient', 'stuff']"
18511,0,"Battery life is short and incompatibility with many apps I regularly use on android devices is frustrating.  Not suitable as a tablet replacement and falls short, when compared to my old 2nd generation kindle for reading (smaller form factor and not anywhere near the battery life).  I have to get past an add every time I turn it on; I paid for this and pay for my WiFi, to get pestered by adds.  Bad choice on my part.<br />Should have believed the reviews that said that this is primarily a selling platform for Amazon.",Battery life short incompatibility many apps regularly android devices frustrating suitable tablet replacement falls short compared generation kindle reading smaller form factor anywhere near battery life past every time turn paid WiFi pestered adds choice part Should believed reviews said primarily selling platform Amazon,"['battery', 'life', 'short', 'incompatibility', 'many', 'app', 'regularly', 'android', 'device', 'frustrate', 'suitable', 'tablet', 'replacement', 'fall', 'short', 'compare', 'generation', 'kindle', 'read', 'small', 'form', 'factor', 'anywhere', 'near', 'battery', 'life', 'past', 'every', 'time', 'turn', 'pay', 'wifi', 'pester', 'add', 'choice', 'part', 'should', 'believe', 'review', 'say', 'primarily', 'sell', 'platform', 'amazon']"
18512,0,"Not sure what I was really expecting for the price but totally sucks. Do not buy, waste of money. Can't download certain apps and the web browser part sucks. Camera is a joke. And there is always ads on the lock screen.",sure really expecting price totally sucks waste money download certain apps browser part sucks Camera joke always lock screen,"['sure', 'really', 'expect', 'price', 'totally', 'suck', 'waste', 'money', 'download', 'certain', 'app', 'browser', 'part', 'suck', 'camera', 'joke', 'always', 'lock', 'screen']"
18534,0,bought as a gift but was defective.  Amazon replaced but it was an inconvenience.,bought gift defective Amazon replaced inconvenience,"['buy', 'gift', 'defective', 'amazon', 'replace', 'inconvenience']"
18535,0,"I like my Kindle HD 7. ;  it has a beautiful screen and seems very fast.  I find I hit the volume buttons I hit a lot accidentally;  switching from reading a book to Home seem harder needed.  I look forward a better easy USB port to plug in for charging.  I only have it a couple weeks,  I like reading and learning  Thanks  John",like Kindle beautiful screen seems fast find volume buttons accidentally switching reading book Home seem harder needed look forward better easy port plug charging couple weeks like reading learning Thanks John,"['like', 'kindle', 'beautiful', 'screen', 'seem', 'fast', 'find', 'volume', 'button', 'accidentally', 'switch', 'reading', 'book', 'home', 'seem', 'hard', 'needed', 'look', 'forward', 'well', 'easy', 'port', 'plug', 'charge', 'couple', 'week', 'like', 'reading', 'learn', 'thank', 'john']"
18543,0,the worst thing I have ever owned it is ridiculous it does not work,worst thing ever owned ridiculous work,"['bad', 'thing', 'ever', 'own', 'ridiculous', 'work']"
18545,0,"The Fire HD 7 is not compatible with Hoopla App for media through my library. Also, the available storage with 8 GB version is not enough to my needs. The device is excellent for browsing the internet and using amazon prime; unfortunately, I will most likely be get a different tablet next year because of the deficiencies of this device.",Fire compatible Hoopla media library Also available storage version enough needs device excellent browsing internet using amazon prime unfortunately likely different tablet next year deficiencies device,"['fire', 'compatible', 'hoopla', 'medium', 'library', 'also', 'available', 'storage', 'version', 'enough', 'need', 'device', 'excellent', 'browse', 'internet', 'use', 'amazon', 'prime', 'unfortunately', 'likely', 'different', 'tablet', 'next', 'year', 'deficiency', 'device']"
18549,0,Don't buy it!!! You have to pay for all your legitimate apps! You can't properly download music! VERY LIMITED ON APPS YOU CAN GET (even if you pay for them) IT SUCKS,legitimate apps properly download music VERY LIMITED APPS even SUCKS,"['legitimate', 'app', 'properly', 'download', 'music', 'very', 'limited', 'apps', 'even', 'suck']"
18551,0,I like it but I wish it had directions with it,like wish directions,"['like', 'wish', 'direction']"
18561,0,I am waiting for my kindle fire retuned to you o1/10  you keep sending me the case but not my kindle fire!! Please correct  I am in my 70tys and find this upsettingvery upset,waiting kindle fire retuned keep sending case kindle fire Please correct find upsettingvery upset,"['wait', 'kindle', 'fire', 'retune', 'keep', 'send', 'case', 'kindle', 'fire', 'please', 'correct', 'find', 'upsettingvery', 'upset']"
18565,0,I rec'd this for christmas . I haven't used it much ; only when I lay down to sleep . Now it doesn't seem to be working. It will not even turn on now. I will wait for my husband to come home soon to let him know it's not working.,christmas used much sleep seem working even turn wait husband come home soon know working,"['christmas', 'use', 'much', 'sleep', 'seem', 'work', 'even', 'turn', 'wait', 'husband', 'come', 'home', 'soon', 'know', 'work']"
18567,0,"Bought as a Christmas present for my son. Have had problems from day one. Might have had 10 small game apps downloaded (no music, videos, pictures, or books) and the storage would say it was full and would not even let me turn Wi-Fi on. Contacted customer service and was promised a replacement. It arrived early, but was the wrong edition. From there I had to contact customer service 3 more times with many issues and never could get my issue resolved. Ended up having to do a full return and repurchase. Still waiting on the new device. Not impressed.",Bought Christmas present Have problems Might small game apps downloaded music videos pictures books storage would full would even turn Contacted customer service promised replacement arrived early wrong edition From contact customer service times many issues never could issue resolved Ended full return repurchase Still waiting device impressed,"['buy', 'christmas', 'present', 'have', 'problem', 'might', 'small', 'game', 'app', 'download', 'music', 'video', 'picture', 'book', 'storage', 'would', 'full', 'would', 'even', 'turn', 'contacted', 'customer', 'service', 'promise', 'replacement', 'arrive', 'early', 'wrong', 'edition', 'from', 'contact', 'customer', 'service', 'time', 'many', 'issue', 'never', 'could', 'issue', 'resolve', 'end', 'full', 'return', 'repurchase', 'still', 'wait', 'device', 'impress']"
18576,0,It has been working fine. But today it hung up and will not work at all. I am writing this on my old Kendall Fire.,working fine today hung work writing Kendall Fire,"['work', 'fine', 'today', 'hang', 'work', 'write', 'kendall', 'fire']"
18578,0,"DHCP errors, This is the 2nd Replacement! I'm freakin pissed, I,m going to go APPLE",DHCP errors This Replacement freakin pissed going APPLE,"['dhcp', 'error', 'this', 'replacement', 'freakin', 'piss', 'go', 'apple']"
18585,0,"I can't turn it on.<br />I am presently in France, but will be back in New York tomorrow jan 20<br />Can you please provide me with a phone number to get help?",turn presently France back York tomorrow please provide phone number help,"['turn', 'presently', 'france', 'back', 'york', 'tomorrow', 'please', 'provide', 'phone', 'number', 'help']"
18589,0,I have not been able to set the Fire HD 7 up.  I am not getting anything on this machine.  I have tried to charge it and nothing is happening.,able Fire getting anything machine tried charge nothing happening,"['able', 'fire', 'get', 'anything', 'machine', 'try', 'charge', 'nothing', 'happen']"
18600,0,got this as a gift 8 gig is not enough space if you want to download movies to take with you,gift enough space want download movies take,"['gift', 'enough', 'space', 'want', 'download', 'movie', 'take']"
18604,0,It is a good tablet for reading. Quality is not as good as an iPad. The feel of it is a lot cheaper than apple products.,good tablet reading Quality good iPad feel cheaper apple products,"['good', 'tablet', 'read', 'quality', 'good', 'ipad', 'feel', 'cheap', 'apple', 'product']"
18612,0,I am disappointed with the fire.  It is not organized well.  The battery runs out fast and it takes forever to charge.  I wouldn't recommend it for anything more than a reader.,disappointed fire organized well battery runs fast takes forever charge recommend anything reader,"['disappoint', 'fire', 'organize', 'well', 'battery', 'run', 'fast', 'take', 'forever', 'charge', 'recommend', 'anything', 'reader']"
18625,0,"I have trouble connecting to my wifi.  I have to turn the hotspot on my iPhone from my wireless, then link the Kindle through the hotspot if I want to download content.<br /><br />After doing some online research, I see this as a common occurrence.  I love Kindle content, but the device could be more connectivity friendly.",trouble connecting wifi turn hotspot iPhone wireless link Kindle hotspot want download content After online research common occurrence love Kindle content device could connectivity friendly,"['trouble', 'connect', 'wifi', 'turn', 'hotspot', 'iphone', 'wireless', 'link', 'kindle', 'hotspot', 'want', 'download', 'content', 'after', 'online', 'research', 'common', 'occurrence', 'love', 'kindle', 'content', 'device', 'could', 'connectivity', 'friendly']"
18628,0,Great. Great. Great!!!,Great Great Great,"['great', 'great', 'great']"
18636,0,It freezes at times,freezes times,"['freeze', 'time']"
18638,0,"It's not an ipad, but it is a lot cheaper....one downside is all the advertizing another is the close ties to your amazon account, they sell this tablet cheep to get you to by more from amazon.  It remembers your password and unless you set up parental controls your account is at risk if someone gets into your tablet.  So set up parental controls to require a password for purchases!",ipad cheaper downside advertizing another close ties amazon account sell tablet cheep amazon remembers password unless parental controls account risk someone gets tablet parental controls require password purchases,"['ipad', 'cheap', 'downside', 'advertize', 'another', 'close', 'tie', 'amazon', 'account', 'sell', 'tablet', 'cheep', 'amazon', 'remember', 'password', 'unless', 'parental', 'control', 'account', 'risk', 'someone', 'get', 'tablet', 'parental', 'control', 'require', 'password', 'purchase']"
18640,0,Having to return it due to being defective after only 10 days of use,Having return defective days,"['having', 'return', 'defective', 'day']"
18659,0,Not impressed.,impressed,['impressed']
18675,0,"Has pixel problems, and freezes up a lot.",pixel problems freezes,"['pixel', 'problem', 'freeze']"
18676,0,"Not a bad value for the money. Bought it for the price and parental controls. I found the administration to be clunky and a bit unrefined. I still like the interface on my iPads better,  but the Kindle beats them on price. This is especially true since we got two for Christmas.",value money Bought price parental controls found administration clunky unrefined still like interface iPads better Kindle beats price This especially true since Christmas,"['value', 'money', 'buy', 'price', 'parental', 'control', 'find', 'administration', 'clunky', 'unrefined', 'still', 'like', 'interface', 'ipads', 'well', 'kindle', 'beat', 'price', 'this', 'especially', 'true', 'since', 'christmas']"
18677,0,I have a Nook and Kindle is so much better I love the audio it saves my eyesight,Nook Kindle much better love audio saves eyesight,"['nook', 'kindle', 'much', 'well', 'love', 'audio', 'save', 'eyesight']"
18678,0,I sold my iPad because the screen was cracked. I bought this tablet because I wanted something smaller then my iPad but not as expensive as the iPad mini. I've had this tablet for about a month now and I hate it! It is like a older computer in way too many ways. I have to click on something more then once to open it and when I do it freezes and takes about about five minutes to open. Another problem I've had is the screen will randomly go black and it will also turn itself off while I'm using it. I will defiantly not recommend this to anyone! I would rather have my cracked iPad then this piece of junk! I will be selling it as soon as possible and will be buying an iPad mini.,sold iPad screen cracked bought tablet wanted something smaller iPad expensive iPad mini tablet month hate like older computer many ways click something open freezes takes five minutes open Another problem screen randomly black also turn using defiantly recommend anyone would rather cracked iPad piece junk selling soon possible buying iPad mini,"['sell', 'ipad', 'screen', 'crack', 'buy', 'tablet', 'want', 'something', 'small', 'ipad', 'expensive', 'ipad', 'mini', 'tablet', 'month', 'hate', 'like', 'old', 'computer', 'many', 'way', 'click', 'something', 'open', 'freeze', 'take', 'five', 'minute', 'open', 'another', 'problem', 'screen', 'randomly', 'black', 'also', 'turn', 'use', 'defiantly', 'recommend', 'anyone', 'would', 'rather', 'crack', 'ipad', 'piece', 'junk', 'sell', 'soon', 'possible', 'buy', 'ipad', 'mini']"
18681,0,We haven't  learned to work it yet.  Need some help.,learned work Need help,"['learn', 'work', 'need', 'help']"
18696,0,This is a horrible kindle.  I have 3 other kindles that work just fine and have no issues.  This one is terrible.  They did something to the amount of storage you have available on the 8GB kindle and it hardly has any room.  Only had a couple of games downloaded and the kindle would freeze and not let you do any thing on it cause the storage was always full.  They need to fix this kindle.  The 2nd generation kindles are by far the best one and I wish I could still order that one.,This horrible kindle kindles work fine issues This terrible They something amount storage available kindle hardly room Only couple games downloaded kindle would freeze thing cause storage always full They need kindle generation kindles best wish could still order,"['this', 'horrible', 'kindle', 'kindle', 'work', 'fine', 'issue', 'this', 'terrible', 'they', 'something', 'amount', 'storage', 'available', 'kindle', 'hardly', 'room', 'only', 'couple', 'game', 'download', 'kindle', 'would', 'freeze', 'thing', 'cause', 'storage', 'always', 'full', 'they', 'need', 'kindle', 'generation', 'kindle', 'good', 'wish', 'could', 'still', 'order']"
